Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-02-15,107.91,108.3,107.3624,108.22,26606886.0,0.0,1.0,107.44871759130193,107.83705045999443,106.90345841464548,107.75739243564726,26606886.0
2019-02-14,106.31,107.29,105.66,106.9,21784703.0,0.0,1.0,105.85555710435834,106.8313679026113,105.2083356565375,106.4430350339188,21784703.0
2019-02-13,107.5,107.78,106.71,106.81,18394869.0,0.0,1.0,107.04047021652264,107.31927330173777,106.25384722609424,106.35341975652821,18394869.0
2019-02-12,106.14,107.14,105.48,106.89,25056595.0,0.0,1.0,105.6862838026206,106.68200910696034,105.02910510175636,106.4330777808754,25056595.0
2019-02-11,106.2,106.58,104.965,105.25,18914123.0,0.0,1.0,105.74602732088097,106.12440293653007,104.51630657002138,104.8000882817582,18914123.0
2019-02-08,104.39,105.78,104.2603,105.67,21461093.0,0.0,1.0,103.94376452002604,105.32782269305828,103.81461894805317,105.21829290958091,21461093.0
2019-02-07,105.185,105.59,104.29,105.27,29760697.0,0.0,1.0,104.73536613697613,105.13863488523373,103.84419198959206,104.820002787845,29760697.0
2019-02-06,107.0,107.0,105.53,106.03,20609759.0,0.0,1.0,106.54260756435276,106.54260756435276,105.07889136697334,105.57675401914321,20609759.0
2019-02-05,106.06,107.27,105.96,107.22,27325365.0,0.0,1.0,105.60662577827341,106.8114533965245,105.50705324783942,106.7616671313075,27325365.0
2019-02-04,102.87,105.8,102.77,105.74,31315282.0,0.0,1.0,102.43026205742963,105.34773719914507,102.33068952699564,105.28799368088468,31315282.0
2019-02-01,103.775,104.0999,102.35,102.78,35535690.0,0.0,1.0,103.33139345785709,103.65490460923708,101.91248489917294,102.34064678003904,35535690.0
2019-01-31,103.8,105.22,103.18,104.43,55636391.0,0.0,1.0,103.35628659046557,104.77021652262802,102.73893690177495,103.98359353219963,55636391.0
2019-01-30,104.62,106.38,104.33,106.38,49471866.0,0.0,1.0,104.17278134002417,105.92525787566213,103.88402100176565,105.92525787566213,49471866.0
2019-01-29,104.88,104.97,102.17,102.94,31490547.0,0.0,1.0,104.4316699191525,104.52128519654308,101.7332543443918,102.4999628287334,31490547.0
2019-01-28,106.26,106.48,104.66,105.08,29476719.0,0.0,1.0,105.80577083914136,106.0248304060961,104.21261035219776,104.63081498002046,29476719.0
2019-01-25,107.24,107.88,106.59,107.17,31218193.0,0.0,1.0,106.7815816373943,107.41884583217174,106.13436018957347,106.71188086609052,31218193.0
2019-01-24,106.86,107.0,105.34,106.2,23164838.0,0.0,1.0,106.4032060217452,106.54260756435276,104.8897035591488,105.74602732088097,23164838.0
2019-01-23,106.12,107.04,105.34,106.71,25874294.0,0.0,1.0,105.6663692965338,106.58243657652636,104.8897035591488,106.25384722609424,25874294.0
2019-01-22,106.75,107.1,104.86,105.68,32371253.0,0.0,1.0,106.29367623826784,106.64218009478674,104.4117554130657,105.2282501626243,32371253.0
2019-01-18,107.46,107.9,105.91,107.71,37427587.0,0.0,1.0,107.00064120434904,107.43876033825855,105.45726698262244,107.24957253043398,37427587.0
2019-01-17,105.0,106.625,104.76,106.12,28393015.0,0.0,1.0,104.55115695567328,106.16921057522536,104.31218288263175,105.6663692965338,28393015.0
2019-01-16,105.26,106.255,104.96,105.38,29853865.0,0.0,1.0,104.81004553480162,105.80079221261965,104.51132794349968,104.92953257132237,29853865.0
2019-01-15,102.51,105.05,101.88,105.01,31587616.0,0.0,1.0,102.07180094786732,104.60094322089026,101.44449400613327,104.56111420871667,31587616.0
2019-01-14,101.9,102.8716,101.26,102.05,28437079.0,0.0,1.0,101.46440851222007,102.43185521791656,100.82714431744263,101.61376730787103,28437079.0
2019-01-11,103.19,103.44,101.64,102.8,28314202.0,0.0,1.0,102.74889415481833,102.99782548090327,101.20551993309174,102.36056128612583,28314202.0
2019-01-10,103.22,103.75,102.38,103.6,30067556.0,0.0,1.0,102.77876591394853,103.30650032524859,101.94235665830314,103.15714152959762,30067556.0
2019-01-09,103.86,104.88,103.2445,104.27,32280840.0,0.0,1.0,103.41603010872596,104.4316699191525,102.80316118390485,103.82427748350526,32280840.0
2019-01-08,103.04,103.97,101.7134,102.8,31514415.0,0.0,1.0,102.59953535916738,103.52555989220333,101.27860617043027,102.36056128612583,31514415.0
2019-01-07,101.64,103.2681,100.98,102.06,35656136.0,0.0,1.0,101.20551993309174,102.82666030108727,100.5483412322275,101.62372456091443,35656136.0
2019-01-04,99.72,102.51,98.93,101.93,44060620.0,0.0,1.0,99.29372734875942,102.07180094786732,98.50710435833103,101.49428027135026,44060620.0
2019-01-03,100.1,100.185,97.2,97.4,42578410.0,0.0,1.0,99.67210296440852,99.75673961527741,96.78449958182327,96.98364464269122,42578410.0
2019-01-02,99.55,101.75,98.94,101.12,35329345.0,0.0,1.0,99.12445404702166,101.3150497165691,98.51706161137442,100.68774277483507,35329345.0
2018-12-31,101.29,102.4,100.44,101.57,33173765.0,0.0,1.0,100.85701607657283,101.96227116438995,100.01064956788403,101.13581916178794,33173765.0
